movie_name,movie_data,movie_scores,movie_type,movie_lang,movie_intro,movie_len
要不要做我儿子？,2023-09-21,85,"喜剧,爱情",英语,四十岁的卢发现相伴十五年的伴侣出轨，生活瞬间崩塌。她在重建自我的过程中，与一位年轻放浪的男子产生了出乎意料的关系。,140
萤火虫之墓,1988-04-16,85,"动画,剧情,战争",日语,1945年，第二次世界大战接近尾声，日本神户在空袭中化为一片火海。14岁的清太带着4岁的妹妹节子逃过轰炸，却在灾难中失去了母亲，而在海军服役的父亲也远在战场。无家可归的兄妹只得寄住在亲戚家中，但随着战争持续、物资愈发匮乏，寄人篱下的生活也变得越来越艰难。最终，清太带着节子离开亲戚家，住进一处废弃的防空洞，试图只依靠彼此活下去。在被战争摧毁的日常中，微弱的萤火与短暂的欢笑，也成为兄妹俩所能拥有的少数温暖……,89
指环王1：护戒使者,2002-04-04,84,"冒险,奇幻,动作",英语,J.R.R.托尔金的文学巨著首次以电影形式磅礴呈现——这是一场正义对抗邪恶的史诗冒险，一段关于友谊力量与个人勇气的传奇，更是一次为人类纪元开辟道路的英雄征程。,228
大卫·爱登堡：地球上的一段生命旅程,2020-09-28,84,"纪录,剧情",英语,大卫·爱登堡讲述了他的一生以及地球上生命的进化史，以此来哀悼自然栖息地的消失，并表达了对未来的愿景。,83
搏击俱乐部,1999-10-15,84,"剧情,惊悚",英语,杰克( 爱德华·诺顿 Edward Norton 饰)是一个充满中年危机意识的人，他非常憎恨自己的生活及一切，再加上他患有严重的失眠症，所以他常常参加各种团体咨询会，只为了能接触人群。在某一个团体咨询会上，杰克遇上了一个跟他同样理由来参加的女烟枪，玛拉(海伦娜·邦汉·卡特 Helena Bonham Carter  饰)，在莫名激素的影响下，杰克和玛拉一起逃离了咨询会，两人的情愫因而滋生…  一个偶然的机会，杰克遇到了卖肥皂的商人泰勒(布拉德·皮特 Brad Pitt 饰)，一个浑身充满叛逆、残酷和暴烈的痞子英雄，并因为自己公寓失火而住进了泰勒破旧不堪的家中。两人因缘际会地成为了好朋友，并创立了“搏击俱乐部”：一个让人们不戴护具而徒手搏击，宗旨在于发泄情绪的地下组织。,139
美丽人生,1997-12-20,84,"喜剧,剧情",意大利语,1939年的意大利，乐观幽默的犹太青年圭多邂逅了女教师多拉。经过一连串阴差阳错，两人相爱成家，并有了儿子乔舒亚。然而随着战争的阴影逼近，圭多和儿子因犹太身份被强行送往集中营，没有犹太血统的多拉也毅然选择同行。为了保护年幼的乔舒亚免受残酷现实的伤害，圭多把集中营里的生活编成一场游戏，并告诉他获胜的奖品是一辆真正的坦克。在恐惧与苦难之中，圭多用幽默、想象和父爱守护着儿子的童真，也始终怀抱着一家人再次团聚的希望……,116
天堂电影院,2019-06-15,84,"剧情,爱情",意大利语,意大利南部的小镇上，男孩多多从小便痴迷电影，总爱跑到“天堂电影院”观看放映，并因此结识了放映师艾佛特。一个古灵精怪，一个嘴硬心软，两人在一卷卷胶片和无数银幕故事中逐渐成为忘年之交，电影院也成了多多童年最重要的地方。一次意外改变了两人的生活，多多开始更加深入地走进电影的世界。随着年岁增长，他经历了青春、初恋与离别，也逐渐发现小镇之外还有更广阔的人生。在艾佛特的陪伴与指引下，多多不得不面对一个重要的选择：是留在熟悉的故乡，还是离开这里，去寻找真正属于自己的未来……,124
每个人的每件事,2019-03-10,84,纪录,英语,从 Lil Peep卧室录制歌曲到全球巡回演出，以及他留下的巨大影响。,116
人类,2015-09-12,84,纪录,法语,"每个人背后都有一个足以撼动心灵的故事。法国知名的摄影师Yann Arthus-Bertrand就用了3年的时间，走访全球60个国家，让2,020位不同肤色、种族、性别的人，在镜头前诉说自己的故事。由乌克兰的自由战士、马里的农民，到美国的死囚，各人的故事集结成一部纪录片《人类》。纪录片中，受访者只站在纯黑色的背景中细诉自己的故事，没有花巧的剪接，甚至不多赘述受访者的身份。每个人自身的经历，足以为观众带来震撼。",191
指环王2：双塔奇兵,2003-04-25,84,"冒险,奇幻,动作",英语,在J.R.R.托尔金史诗三部曲的第二篇章中，护戒同盟队面对难以想象的敌军与诡谲阴谋，同时见证了远古奇迹与同胞未觉醒的力量。,235
