,movie_name,movie_data,movie_scores,movie_type,movie_lang,movie_len
85,五等分的新娘 剧场版,2022-05-20,83,"动画,喜剧,爱情",日语,136
86,献给我的前妻,2019-11-08,83,"剧情,喜剧",西班牙语,94
87,大独裁者,2021-09-19,83,"喜剧,战争",英语,125
88,我们如此相爱,1974-12-21,83,"剧情,喜剧",意大利语,124
89,摩登时代,1936-09-17,83,"喜剧,剧情,爱情",英语,87
90,边境奇袭,2025-02-28,83,"动作,冒险,惊悚",西班牙语,85
91,生活多美好,1946-12-20,83,"剧情,家庭,奇幻",英语,131
92,惩罚者：最后一击,2026-05-12,83,"动作,剧情,犯罪",英语,51
93,从天而降,2019-12-24,83,"喜剧,剧情,音乐",西班牙语,112
94,触不可及,2011-11-02,83,"剧情,喜剧",法语,112
95,日落大道,2026-04-16,83,剧情,英语,110
96,捕风追影,2025-08-16,83,"动作,犯罪,剧情,惊悚",unkonwn,141
97,西部往事,2018-04-16,83,"剧情,西部",意大利语,166
98,现代启示录,1979-05-19,83,"剧情,战争",英语,202
99,新世纪福音战士剧场版：Air／真心为你,1997-07-19,83,"动画,科幻,剧情,奇幻,动作",日语,87
100,黑客帝国,2000-01-14,83,"动作,科幻",英语,136
101,萤火之森,2011-09-17,83,"爱情,动画,奇幻",日语,44
102,从前有个工作室,2023-11-24,83,"动画,家庭,奇幻,剧情,喜剧",英语,9
103,迈克尔·杰克逊：颤栗,1983-11-21,83,"恐怖,音乐,惊悚",英语,14
104,妥瑞氏与我,2025-09-22,83,"剧情,历史",英语,121
105,七号房的礼物,2020-10-15,83,剧情,土耳其语,132
106,狮子王,1995-07-15,83,"动画,家庭,剧情",英语,89
107,光荣之路,1957-12-20,83,"战争,剧情",英语,87
108,乔西的虎与鱼,2021-06-11,83,"动画,剧情,爱情",日语,98
109,城市之光,1931-03-07,82,"喜剧,剧情,爱情",英语,87
110,云上情歌,2020-10-09,82,"音乐,剧情",英语,121
111,洞,1960-03-18,82,"剧情,惊悚,犯罪",法语,132
112,复仇者联盟4：终局之战,2019-04-24,82,"冒险,科幻,动作",英语,181
113,复仇者联盟3：无限战争,2018-05-11,82,"冒险,动作,科幻",英语,156
114,幽会百科,1965-07-05,82,纪录,意大利语,92
115,我想吃掉你的胰脏,2019-01-18,82,"动画,剧情,爱情",日语,109
